"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"256","MDDNR-TF2.2",22343531,-77.1111,38.6907,"outlet",NA,"up"
"257","MDDNR-TF2.3",4529641,-77.1739,38.6082,"inlet",NA,"dn"
"258","MDDNR-TF2.3",4529641,-77.1739,38.6082,"outlet",NA,"up"
"259","MDDNR-TF2.4",4529701,-77.2654,38.5301,"inlet",NA,"dn"
"260","MDDNR-TF2.4",4529701,-77.2654,38.5301,"outlet",NA,"up"
"261","MDDNR-WT1.1",11689892,-76.2421,39.4351,"inlet",NA,"dn"
"262","MDDNR-WT1.1",11689892,-76.2421,39.4351,"outlet",NA,"up"
"263","MDDNR-WT2.1",11690542,-76.3346,39.3775,"inlet",NA,"dn"
"264","MDDNR-WT2.1",11690542,-76.3346,39.3775,"outlet",11689980,"up"
"265","MDDNR-WT3.1",11690516,-76.4095,39.3054,"inlet",NA,"dn"
"266","MDDNR-WT3.1",11690516,-76.4095,39.3054,"outlet",NA,"up"
"267","MDDNR-WT4.1",11690162,-76.4437,39.2775,"inlet",NA,"dn"
"268","MDDNR-WT4.1",11690162,-76.4437,39.2775,"outlet",NA,"up"
"269","MDDNR-WT5.1",11690206,-76.5225,39.2131,"inlet",NA,"dn"
"270","MDDNR-WT5.1",11690206,-76.5225,39.2131,"outlet",11690202,"up"
"271","MDDNR-WT6.1",8376201,-76.51,39.0785,"inlet",NA,"dn"
"272","MDDNR-WT6.1",8376201,-76.51,39.0785,"outlet",8376141,"up"
"273","MDDNR-WT7.1",8376239,-76.5035,39.0076,"inlet",NA,"dn"
"274","MDDNR-WT7.1",8376239,-76.5035,39.0076,"outlet",8376155,"up"
"275","MDDNR-WT8.1",8377219,-76.5461,38.9496,"inlet",NA,"dn"
"276","MDDNR-WT8.1",8377219,-76.5461,38.9496,"outlet",8377233,"up"
"277","MDDNR-WT8.2",8377387,-76.5349,38.887,"inlet",NA,"dn"
"278","MDDNR-WT8.2",8377387,-76.5349,38.887,"outlet",NA,"up"
"279","MDDNR-WT8.3",8377313,-76.5341,38.8425,"inlet",NA,"dn"
"280","MDDNR-WT8.3",8377313,-76.5341,38.8425,"outlet",NA,"up"
"281","MDDNR-WXT0001",11907934,-76.7134,38.7854,"inlet",11908590,"dn"
"282","MDDNR-WXT0001",11907934,-76.7134,38.7854,"outlet",NA,"up"
"283","MDDNR-XFB1986",22343523,-77.0232,38.6979,"inlet",NA,"dn"
"284","MDDNR-XFB1986",22343523,-77.0232,38.6979,"outlet",22338119,"up"
"285","MDDNR-YOU1139",3809533,-79.421906,39.423598,"inlet",NA,"dn"
"286","MDDNR-YOU1139",3809533,-79.421906,39.423598,"outlet",NA,"up"
"287","21PA_WQX-WQN0201",4722265,-76.5167,40.0286,"inlet",4722265,"dn"
"288","21PA_WQX-WQN0201",4722265,-76.5167,40.0286,"outlet",4731607,"up"
"289","21PA_WQX-WQN0204",4724801,-76.3281,39.9056,"inlet",4726369,"dn"
"290","21PA_WQX-WQN0204",4724801,-76.3281,39.9056,"outlet",NA,"up"
"291","21PA_WQX-WQN0210",4722109,-76.7181,40.0814,"inlet",4722319,"dn"
"292","21PA_WQX-WQN0210",4722109,-76.7181,40.0814,"outlet",NA,"up"
"293","21PA_WQX-WQN0212",4709474,-76.8606,40.2242,"inlet",NA,"dn"
"294","21PA_WQX-WQN0212",4709474,-76.8606,40.2242,"outlet",NA,"up"
"295","21PA_WQX-WQN0214",4699925,-77.1283,40.4789,"inlet",NA,"dn"
"296","21PA_WQX-WQN0214",4699925,-77.1283,40.4789,"outlet",NA,"up"
"297","21PA_WQX-WQN0223",4690429,-78.2647,40.215,"inlet",4690219,"dn"
"298","21PA_WQX-WQN0223",4690429,-78.2647,40.215,"outlet",NA,"up"
"299","21PA_WQX-WQN0229",4520418,-77.0489,40.8672,"inlet",NA,"dn"
"300","21PA_WQX-WQN0229",4520418,-77.0489,40.8672,"outlet",NA,"up"
"301","21PA_WQX-WQN0243",4710552,-77.1942,40.3442,"inlet",NA,"dn"
"302","21PA_WQX-WQN0243",4710552,-77.1942,40.3442,"outlet",NA,"up"
"303","21PA_WQX-WQN0271",4712048,-77.0189,40.255,"inlet",NA,"dn"
"304","21PA_WQX-WQN0271",4712048,-77.0189,40.255,"outlet",NA,"up"
"305","21PA_WQX-WQN0272",4709276,-76.6778,40.2869,"inlet",NA,"dn"
"306","21PA_WQX-WQN0272",4709276,-76.6778,40.2869,"outlet",4709952,"up"
"307","21PA_WQX-WQN0273",4724633,-76.3869,39.9389,"inlet",4726359,"dn"
"308","21PA_WQX-WQN0273",4724633,-76.3869,39.9389,"outlet",NA,"up"
"309","21PA_WQX-WQN0301",2604977,-76.6197,40.9589,"inlet",NA,"dn"
"310","21PA_WQX-WQN0301",2604977,-76.6197,40.9589,"outlet",NA,"up"
"311","21PA_WQX-WQN0302",2601199,-75.885,41.2492,"inlet",NA,"dn"
"312","21PA_WQX-WQN0302",2601199,-75.885,41.2492,"outlet",NA,"up"
"313","21PA_WQX-WQN0305",4199354,-76.4386,41.7653,"inlet",NA,"dn"
"314","21PA_WQX-WQN0305",4199354,-76.4386,41.7653,"outlet",NA,"up"
"315","21PA_WQX-WQN0401",8153799,-76.8792,40.9669,"inlet",NA,"dn"
