"","comid","lon","lat","inletoutlet","tocomid","direction"
"363",11909794,-76.6643,38.4909,"inlet",NA,"dn"
"364",11909794,-76.6643,38.4909,"outlet",NA,"up"
"365",4534619,-77.2691,38.4035,"inlet",NA,"dn"
"366",4534619,-77.2691,38.4035,"outlet",NA,"up"
"367",4534635,-77.2051,38.3525,"inlet",NA,"dn"
"368",4534635,-77.2051,38.3525,"outlet",NA,"up"
"369",4539773,-76.9906,38.3626,"inlet",NA,"dn"
"370",4539773,-76.9906,38.3626,"outlet",NA,"up"
"371",11907758,-76.6941,38.9556,"inlet",NA,"dn"
"372",11907758,-76.6941,38.9556,"outlet",11906414,"up"
"373",11908364,-76.7509,38.8143,"inlet",11908590,"dn"
"374",11908364,-76.7509,38.8143,"outlet",NA,"up"
"375",11908582,-76.7123,38.8109,"inlet",NA,"dn"
"376",11908582,-76.7123,38.8109,"outlet",NA,"up"
"377",11908594,-76.7093,38.773,"inlet",NA,"dn"
"378",11908594,-76.7093,38.773,"outlet",NA,"up"
"379",11908668,-76.7015,38.7101,"inlet",NA,"dn"
"380",11908668,-76.7015,38.7101,"outlet",NA,"up"
"381",11908692,-76.6838,38.6585,"inlet",NA,"dn"
"382",11908692,-76.6838,38.6585,"outlet",NA,"up"
"383",11908760,-76.681,38.5821,"inlet",NA,"dn"
"384",11908760,-76.681,38.5821,"outlet",NA,"up"
"385",22340673,-77.0488,38.7066,"inlet",NA,"dn"
"386",22340673,-77.0488,38.7066,"outlet",NA,"up"
"387",22343531,-77.1111,38.6907,"inlet",NA,"dn"
"388",22343531,-77.1111,38.6907,"outlet",NA,"up"
"389",4529641,-77.1739,38.6082,"inlet",NA,"dn"
"390",4529641,-77.1739,38.6082,"outlet",NA,"up"
"391",4529701,-77.2654,38.5301,"inlet",NA,"dn"
"392",4529701,-77.2654,38.5301,"outlet",NA,"up"
"393",11689892,-76.2421,39.4351,"inlet",NA,"dn"
"394",11689892,-76.2421,39.4351,"outlet",NA,"up"
"395",11690542,-76.3346,39.3775,"inlet",NA,"dn"
"396",11690542,-76.3346,39.3775,"outlet",11689980,"up"
"397",11690516,-76.4095,39.3054,"inlet",NA,"dn"
"398",11690516,-76.4095,39.3054,"outlet",NA,"up"
"399",11690162,-76.4437,39.2775,"inlet",NA,"dn"
"400",11690162,-76.4437,39.2775,"outlet",NA,"up"
"401",11690206,-76.5225,39.2131,"inlet",NA,"dn"
"402",11690206,-76.5225,39.2131,"outlet",11690202,"up"
"403",8376201,-76.51,39.0785,"inlet",NA,"dn"
"404",8376201,-76.51,39.0785,"outlet",8376141,"up"
"405",8376239,-76.5035,39.0076,"inlet",NA,"dn"
"406",8376239,-76.5035,39.0076,"outlet",8376155,"up"
"407",8377219,-76.5461,38.9496,"inlet",NA,"dn"
"408",8377219,-76.5461,38.9496,"outlet",8377233,"up"
"409",8377387,-76.5349,38.887,"inlet",NA,"dn"
"410",8377387,-76.5349,38.887,"outlet",NA,"up"
"411",8377313,-76.5341,38.8425,"inlet",NA,"dn"
"412",8377313,-76.5341,38.8425,"outlet",NA,"up"
"413",11907934,-76.7134,38.7854,"inlet",11908590,"dn"
"414",11907934,-76.7134,38.7854,"outlet",NA,"up"
"415",22343523,-77.0232,38.6979,"inlet",NA,"dn"
"416",22343523,-77.0232,38.6979,"outlet",22338119,"up"
"417",4726595,-76.1744444,39.6578889,"inlet",4726595,"dn"
"418",4726595,-76.1744444,39.6578889,"outlet",4726593,"up"
"419",5891232,-77.8247778,39.7163889,"inlet",NA,"dn"
"420",5891232,-77.8247778,39.7163889,"outlet",NA,"up"
"421",15558653,-77.7422222,43.2536111,"inlet",NA,"dn"
"422",15558653,-77.7422222,43.2536111,"outlet",NA,"up"
"423",21633883,-77.527,43.1280278,"inlet",NA,"dn"
"424",21633883,-77.527,43.1280278,"outlet",28035681,"up"
"425",21633937,-77.5119444,43.145,"inlet",NA,"dn"
"426",21633937,-77.5119444,43.145,"outlet",NA,"up"
"427",21633979,-77.5261111,43.1758333,"inlet",NA,"dn"
"428",21633979,-77.5261111,43.1758333,"outlet",21633983,"up"
"429",15537877,-77.6094464,43.2528396,"inlet",NA,"dn"
"430",15537877,-77.6094464,43.2528396,"outlet",NA,"up"
"431",4710000,-76.8860846,40.2548116,"inlet",NA,"dn"
"432",4710000,-76.8860846,40.2548116,"outlet",NA,"up"
"433",4720211,-75.9774431,40.1284308,"inlet",NA,"dn"
